x generation elapsed_ms log10_p sat one_minus_r2_train one_minus_r2_val one_minus_r2_third
20 20 1179 -1.270362674236e1 nan 1.806209183997e-5 2.174320252379e-5 1.293304096907e-2
40 40 2644 -1.279652840740e1 nan 7.534887117799e-6 4.452688699641e-6 1.292248815298e-2
60 60 3924 -1.280222096304e1 nan 8.025890565588e-6 4.394728876034e-6 1.292060315609e-2
80 80 5365 -1.300618224056e1 nan 4.376653123583e-6 8.286746151498e-7 1.091681607068e-2
100 100 6897 -1.301314310946e1 nan 3.382621344028e-6 4.994075197828e-7 1.091845333576e-2
120 120 8338 -1.301341140070e1 nan 3.345609002392e-6 5.400054305937e-7 1.091897301376e-2
140 140 9859 -1.301770968023e1 nan 3.470438969200e-6 4.001470017556e-7 1.091592945158e-2
160 160 11344 -1.302471685079e1 nan 1.889570626190e-6 1.599877775815e-7 1.090657152236e-2
360 360 28187 -1.302471685079e1 nan 1.889570626190e-6 1.599877775815e-7 1.090657152236e-2
460 460 36146 -1.302525688148e1 nan 2.500010623407e-6 2.680474437966e-7 1.090392004699e-2
480 480 37691 -1.302741924752e1 nan 1.947002601810e-6 7.524803879999e-8 1.090365462005e-2
660 660 53216 -1.304618306610e1 nan 8.644448825978e-6 8.533456821169e-6 1.051147468388e-2
680 680 54709 -1.304755072991e1 nan 6.131340796856e-6 7.586582796648e-6 1.050856336951e-2
740 740 59740 -1.305825501241e1 nan 7.066633770592e-6 7.335540431197e-6 1.050415355712e-2
780 780 63091 -1.306487508433e1 nan 2.859353116946e-6 1.244124405164e-6 1.049517933279e-2
820 820 66509 -1.307457539332e1 nan 7.525679848186e-6 8.068548139617e-7 1.048501208425e-2
860 860 70011 -1.308349144794e1 nan 3.389695621192e-6 8.239624094131e-7 1.047799549997e-2
1000 1000 82735 -1.308405020496e1 nan 4.661350885615e-6 7.706130418228e-7 1.047750003636e-2
1020 1020 84485 -1.308432973605e1 nan 4.484199962351e-6 7.746895676064e-7 1.047756243497e-2
1040 1040 86392 -1.308544784768e1 nan 3.383647708799e-6 8.142737327743e-7 1.047785859555e-2
1240 1240 105109 -1.308544784768e1 nan 3.383647708799e-6 8.142737327743e-7 1.047785859555e-2
1300 1300 110610 -1.310202728446e1 nan 1.720813634165e-5 7.873631487909e-7 1.016804948449e-2
1320 1320 112405 -1.310570119800e1 nan 1.732199780236e-5 6.286639403497e-7 1.016233395785e-2
1340 1340 114160 -1.310910008139e1 nan 1.216118562297e-5 9.020533298099e-7 1.015020627528e-2
1360 1360 116061 -1.310966704516e1 nan 1.218697889283e-5 8.832160459660e-7 1.014834549278e-2
1500 1500 128964 -1.313221625258e1 nan 1.515213079983e-5 4.973782096185e-7 9.944704361260e-3
1580 1580 135534 -1.313422851856e1 nan 1.500802227383e-5 4.795778068001e-7 9.928831830621e-3
1740 1740 149666 -1.313739549120e1 nan 1.500058897363e-5 4.974415900305e-7 9.898832999170e-3
1940 1940 166797 -1.313768369469e1 nan 1.500981306879e-5 4.904898673885e-7 9.899081662297e-3
2140 2140 183530 -1.313768369469e1 nan 1.500981306879e-5 4.904898673885e-7 9.899081662297e-3
2280 2280 195642 -1.313797192209e1 nan 1.500452253822e-5 5.022327513871e-7 9.898602031171e-3
2440 2440 208771 -1.313999066714e1 nan 1.500191956438e-5 4.899953863768e-7 9.895185008645e-3
2460 2460 210472 -1.314027932766e1 nan 1.499847439845e-5 5.054724283582e-7 9.894826449454e-3
2660 2660 228049 -1.314027932766e1 nan 1.499847439845e-5 5.054724283582e-7 9.894826449454e-3
2860 2860 245161 -1.314027932766e1 nan 1.499847439845e-5 5.054724283582e-7 9.894826449454e-3
3060 3060 262126 -1.314027932766e1 nan 1.499847439845e-5 5.054724283582e-7 9.894826449454e-3
3260 3260 279990 -1.314027932766e1 nan 1.499847439845e-5 5.054724283582e-7 9.894826449454e-3
3460 3460 296912 -1.314027932766e1 nan 1.499847439845e-5 5.054724283582e-7 9.894826449454e-3
3660 3660 315357 -1.314027932766e1 nan 1.499847439845e-5 5.054724283582e-7 9.894826449454e-3
3860 3860 332847 -1.314027932766e1 nan 1.499847439845e-5 5.054724283582e-7 9.894826449454e-3
4060 4060 350308 -1.314027932766e1 nan 1.499847439845e-5 5.054724283582e-7 9.894826449454e-3
4260 4260 367812 -1.314027932766e1 nan 1.499847439845e-5 5.054724283582e-7 9.894826449454e-3
4380 4380 378202 -1.314461429418e1 nan 1.499453810538e-5 4.885104090135e-7 9.887557476759e-3
4400 4400 379918 -1.314779995645e1 nan 1.498826986801e-5 5.143409680386e-7 9.887675754726e-3
4600 4600 398311 -1.314779995645e1 nan 1.498826986801e-5 5.143409680386e-7 9.887675754726e-3
4640 4640 402446 -1.314808975110e1 nan 1.371442158415e-5 5.338429219792e-7 9.887072257698e-3
4780 4780 415156 -1.315186316187e1 nan 7.037535851961e-6 7.884432875471e-7 9.883940219879e-3
4820 4820 418923 -1.315215378060e1 nan 7.051609827613e-6 8.086879575986e-7 9.884092025459e-3
4900 4900 426226 -1.315244442366e1 nan 6.733783720847e-6 7.599968512295e-7 9.884342551231e-3
5100 5100 444801 -1.315244442366e1 nan 6.733783720847e-6 7.599968512295e-7 9.884342551231e-3
5300 5300 463745 -1.315244442366e1 nan 6.733783720847e-6 7.599968512295e-7 9.884342551231e-3
5500 5500 482203 -1.315244442366e1 nan 6.733783720847e-6 7.599968512295e-7 9.884342551231e-3
5700 5700 500995 -1.315244442366e1 nan 6.733783720847e-6 7.599968512295e-7 9.884342551231e-3
5780 5780 508189 -1.315331649879e1 nan 1.263321883016e-5 5.651033347931e-7 9.886008687317e-3
5820 5820 511753 -1.315448009153e1 nan 1.130870441557e-5 6.507542024137e-7 9.884451515973e-3
5880 5880 517562 -1.333849426431e1 nan 1.302838063555e-5 5.453231324282e-7 8.241297677159e-3
5940 5940 523246 -1.335638000530e1 nan 1.220303875016e-5 6.884649224048e-7 7.999508641660e-3
5960 5960 525055 -1.336260169216e1 nan 1.302622968080e-5 5.334179036254e-7 7.999881170690e-3
6040 6040 532709 -1.336325770282e1 nan 1.367601635138e-5 5.404588704350e-7 7.999082095921e-3
6100 6100 538659 -1.336358639866e1 nan 1.277673982258e-5 5.368145251650e-7 7.999468594790e-3
6300 6300 557847 -1.336358639866e1 nan 1.277673982258e-5 5.368145251650e-7 7.999468594790e-3
6500 6500 576524 -1.336358639866e1 nan 1.277673982258e-5 5.368145251650e-7 7.999468594790e-3
6700 6700 596121 -1.336358639866e1 nan 1.277673982258e-5 5.368145251650e-7 7.999468594790e-3
6900 6900 615237 -1.336358639866e1 nan 1.277673982258e-5 5.368145251650e-7 7.999468594790e-3
7100 7100 635222 -1.336358639866e1 nan 1.277673982258e-5 5.368145251650e-7 7.999468594790e-3
7300 7300 654314 -1.336358639866e1 nan 1.277673982258e-5 5.368145251650e-7 7.999468594790e-3
7500 7500 673552 -1.336358639866e1 nan 1.277673982258e-5 5.368145251650e-7 7.999468594790e-3
7700 7700 692396 -1.336358639866e1 nan 1.277673982258e-5 5.368145251650e-7 7.999468594790e-3
7900 7900 711416 -1.336358639866e1 nan 1.277673982258e-5 5.368145251650e-7 7.999468594790e-3
8100 8100 731226 -1.336358639866e1 nan 1.277673982258e-5 5.368145251650e-7 7.999468594790e-3
8300 8300 751705 -1.336358639866e1 nan 1.277673982258e-5 5.368145251650e-7 7.999468594790e-3
8500 8500 771090 -1.336358639866e1 nan 1.277673982258e-5 5.368145251650e-7 7.999468594790e-3
8700 8700 791354 -1.336358639866e1 nan 1.277673982258e-5 5.368145251650e-7 7.999468594790e-3
8900 8900 809778 -1.336358639866e1 nan 1.277673982258e-5 5.368145251650e-7 7.999468594790e-3
9100 9100 829535 -1.336358639866e1 nan 1.277673982258e-5 5.368145251650e-7 7.999468594790e-3
9300 9300 848235 -1.336358639866e1 nan 1.277673982258e-5 5.368145251650e-7 7.999468594790e-3
9500 9500 866929 -1.336358639866e1 nan 1.277673982258e-5 5.368145251650e-7 7.999468594790e-3
9700 9700 885964 -1.336358639866e1 nan 1.277673982258e-5 5.368145251650e-7 7.999468594790e-3
9900 9900 904902 -1.336358639866e1 nan 1.277673982258e-5 5.368145251650e-7 7.999468594790e-3
10100 10100 923931 -1.336358639866e1 nan 1.277673982258e-5 5.368145251650e-7 7.999468594790e-3
10300 10300 946100 -1.336358639866e1 nan 1.277673982258e-5 5.368145251650e-7 7.999468594790e-3
10500 10500 969257 -1.336358639866e1 nan 1.277673982258e-5 5.368145251650e-7 7.999468594790e-3
10700 10700 1002632 -1.336358639866e1 nan 1.277673982258e-5 5.368145251650e-7 7.999468594790e-3
10900 10900 1028316 -1.336358639866e1 nan 1.277673982258e-5 5.368145251650e-7 7.999468594790e-3
11100 11100 1047711 -1.336358639866e1 nan 1.277673982258e-5 5.368145251650e-7 7.999468594790e-3
11300 11300 1067614 -1.336358639866e1 nan 1.277673982258e-5 5.368145251650e-7 7.999468594790e-3
11400 11400 1077110 -1.342573627535e1 nan 2.100415076722e-5 9.887545502352e-7 7.518083788454e-3
11420 11420 1079030 -1.345766567167e1 nan 8.123080078803e-6 9.394994435752e-7 7.473977282643e-3
11460 11460 1082839 -1.345905263240e1 nan 8.294524377561e-6 6.815081405875e-7 7.481154520065e-3
11660 11660 1102187 -1.345905263240e1 nan 8.294524377561e-6 6.815081405875e-7 7.481154520065e-3
11820 11820 1117697 -1.346009315034e1 nan 5.754532139579e-6 8.745286663725e-7 7.479836232960e-3
11880 11880 1123583 -1.346287168732e1 nan 8.906508810358e-6 7.657123431981e-7 7.479548454285e-3
12080 12080 1148897 -1.346287168732e1 nan 8.906508810358e-6 7.657123431981e-7 7.479548454285e-3
12280 12280 1171088 -1.346287168732e1 nan 8.906508810358e-6 7.657123431981e-7 7.479548454285e-3
12440 12440 1186211 -1.346321922708e1 nan 9.818923899618e-6 7.338367139509e-7 7.480249274522e-3
12540 12540 1201080 -1.346356680162e1 nan 7.014226412028e-6 8.084979867817e-7 7.478658109903e-3
12740 12740 1236610 -1.346356680162e1 nan 7.014226412028e-6 8.084979867817e-7 7.478658109903e-3
12940 12940 1275617 -1.346356680162e1 nan 7.014226412028e-6 8.084979867817e-7 7.478658109903e-3
13140 13140 1296684 -1.346356680162e1 nan 7.014226412028e-6 8.084979867817e-7 7.478658109903e-3
13340 13340 1319871 -1.346356680162e1 nan 7.014226412028e-6 8.084979867817e-7 7.478658109903e-3
13540 13540 1341492 -1.346356680162e1 nan 7.014226412028e-6 8.084979867817e-7 7.478658109903e-3
13740 13740 1361281 -1.346356680162e1 nan 7.014226412028e-6 8.084979867817e-7 7.478658109903e-3
13940 13940 1381039 -1.346356680162e1 nan 7.014226412028e-6 8.084979867817e-7 7.478658109903e-3
14140 14140 1402764 -1.346356680162e1 nan 7.014226412028e-6 8.084979867817e-7 7.478658109903e-3
14340 14340 1428719 -1.346356680162e1 nan 7.014226412028e-6 8.084979867817e-7 7.478658109903e-3
14540 14540 1461285 -1.346356680162e1 nan 7.014226412028e-6 8.084979867817e-7 7.478658109903e-3
14740 14740 1482586 -1.346356680162e1 nan 7.014226412028e-6 8.084979867817e-7 7.478658109903e-3
14940 14940 1502576 -1.346356680162e1 nan 7.014226412028e-6 8.084979867817e-7 7.478658109903e-3
15140 15140 1534812 -1.346356680162e1 nan 7.014226412028e-6 8.084979867817e-7 7.478658109903e-3
15340 15340 1565065 -1.346356680162e1 nan 7.014226412028e-6 8.084979867817e-7 7.478658109903e-3
15540 15540 1585729 -1.346356680162e1 nan 7.014226412028e-6 8.084979867817e-7 7.478658109903e-3
15740 15740 1606605 -1.346356680162e1 nan 7.014226412028e-6 8.084979867817e-7 7.478658109903e-3
15940 15940 1636655 -1.346356680162e1 nan 7.014226412028e-6 8.084979867817e-7 7.478658109903e-3
16140 16140 1660356 -1.346356680162e1 nan 7.014226412028e-6 8.084979867817e-7 7.478658109903e-3
16340 16340 1680770 -1.346356680162e1 nan 7.014226412028e-6 8.084979867817e-7 7.478658109903e-3
16540 16540 1700622 -1.346356680162e1 nan 7.014226412028e-6 8.084979867817e-7 7.478658109903e-3
16740 16740 1719443 -1.346356680162e1 nan 7.014226412028e-6 8.084979867817e-7 7.478658109903e-3
16920 16920 1737648 -1.346391441094e1 nan 6.231251973188e-6 8.925463248488e-7 7.477517705411e-3
