x generation elapsed_ms log10_p sat one_minus_r2_train one_minus_r2_val one_minus_r2_third
500 500 13273 -1.331502178003e1 nan 1.569733285578e-4 8.223431905208e-6 nan
1000 1000 26664 -1.428349590925e1 nan 1.436687452951e-4 7.573506081826e-6 nan
1500 1500 40436 nan -20.000000 7.843789832096e-7 7.116252476180e-8 nan
2000 2000 53973 nan -20.000000 2.560429947951e-6 1.705108871874e-7 nan
2500 2500 66841 nan -20.000000 2.560429947951e-6 1.705108871874e-7 nan
3000 3000 80420 nan -20.000000 2.560429947951e-6 1.705108871874e-7 nan
3500 3500 94120 nan -20.000000 2.560429947951e-6 1.705108871874e-7 nan
4000 4000 107811 nan -20.000000 2.560429947951e-6 1.705108871874e-7 nan
4500 4500 121271 nan -20.000000 2.560429947951e-6 1.705108871874e-7 nan
5000 5000 134836 nan -20.000000 2.560429947951e-6 1.705108871874e-7 nan
5500 5500 148455 nan -20.000000 2.560429947951e-6 1.705108871874e-7 nan
6000 6000 162086 nan -20.000000 2.560429947951e-6 1.705108871874e-7 nan
6500 6500 175759 nan -20.000000 2.560429947951e-6 1.705108871874e-7 nan
7000 7000 189588 nan -20.000000 2.560429947951e-6 1.705108871874e-7 nan
7500 7500 203206 nan -20.000000 2.560429947951e-6 1.705108871874e-7 nan
8000 8000 217611 nan -20.000000 2.560429947951e-6 1.705108871874e-7 nan
8500 8500 230420 nan -20.000000 2.560429947951e-6 1.705108871874e-7 nan
9000 9000 244271 nan -20.000000 2.560429947951e-6 1.705108871874e-7 nan
9500 9500 257968 nan -20.000000 2.560429947951e-6 1.705108871874e-7 nan
10000 10000 274046 nan -20.000000 2.560429947951e-6 1.705108871874e-7 nan
10500 10500 291233 nan -20.000000 2.560429947951e-6 1.705108871874e-7 nan
11000 11000 304717 nan -20.000000 2.560429947951e-6 1.705108871874e-7 nan
11500 11500 318212 nan -20.000000 2.560429947951e-6 1.705108871874e-7 nan
12000 12000 331491 nan -20.000000 2.560429947951e-6 1.705108871874e-7 nan
12500 12500 347474 nan -20.000000 2.560429947951e-6 1.705108871874e-7 nan
13000 13000 364539 nan -20.000000 2.560429947951e-6 1.705108871874e-7 nan
13500 13500 377141 nan -20.000000 2.560429947951e-6 1.705108871874e-7 nan
14000 14000 389658 nan -20.000000 2.560429947951e-6 1.705108871874e-7 nan
14500 14500 402217 nan -20.000000 2.560429947951e-6 1.705108871874e-7 nan
15000 15000 415746 nan -20.000000 2.560429947951e-6 1.705108871874e-7 nan
15500 15500 428831 nan -20.000000 2.560429947951e-6 1.705108871874e-7 nan
16000 16000 442414 nan -20.000000 2.560429947951e-6 1.705108871874e-7 nan
16500 16500 456544 nan -20.000000 2.560429947951e-6 1.705108871874e-7 nan
17000 17000 473774 nan -20.000000 2.560429947951e-6 1.705108871874e-7 nan
17500 17500 490820 nan -20.000000 2.560429947951e-6 1.705108871874e-7 nan
18000 18000 503139 nan -20.000000 2.560429947951e-6 1.705108871874e-7 nan
18500 18500 516281 nan -20.000000 2.560429947951e-6 1.705108871874e-7 nan
19000 19000 528837 nan -20.000000 2.560429947951e-6 1.705108871874e-7 nan
19500 19500 542225 nan -20.000000 2.560429947951e-6 1.705108871874e-7 nan
20000 20000 555840 nan -20.000000 2.560429947951e-6 1.705108871874e-7 nan
20500 20500 569600 nan -20.000000 2.560429947951e-6 1.705108871874e-7 nan
21000 21000 583337 nan -20.000000 2.560429947951e-6 1.705108871874e-7 nan
21500 21500 597162 nan -20.000000 2.560429947951e-6 1.705108871874e-7 nan
22000 22000 610943 nan -20.000000 2.560429947951e-6 1.705108871874e-7 nan
22500 22500 624265 nan -20.000000 2.560429947951e-6 1.705108871874e-7 nan
23000 23000 637921 nan -20.000000 2.560429947951e-6 1.705108871874e-7 nan
23500 23500 651614 nan -20.000000 2.560429947951e-6 1.705108871874e-7 nan
24000 24000 665243 nan -20.000000 2.560429947951e-6 1.705108871874e-7 nan
24500 24500 678830 nan -20.000000 2.560429947951e-6 1.705108871874e-7 nan
25000 25000 692442 nan -20.000000 2.560429947951e-6 1.705108871874e-7 nan
25500 25500 705862 nan -20.000000 2.560429947951e-6 1.705108871874e-7 nan
26000 26000 719355 nan -20.000000 2.560429947951e-6 1.705108871874e-7 nan
26500 26500 732874 nan -20.000000 2.560429947951e-6 1.705108871874e-7 nan
27000 27000 746158 nan -20.000000 2.560429947951e-6 1.705108871874e-7 nan
27500 27500 759710 nan -20.000000 2.560429947951e-6 1.705108871874e-7 nan
