x generation elapsed_ms log10_p sat one_minus_r2_train one_minus_r2_val one_minus_r2_third
20 20 579 -1.217860560098e1 nan 2.984360326082e-4 4.599820531440e-4 1.206013094634e-2
60 60 1799 -1.235738640795e1 nan 2.524204028304e-4 4.912262666040e-4 1.181005686522e-2
100 100 3103 -1.281414078786e1 nan 1.512797462055e-5 4.016932962370e-6 1.290578208864e-2
140 140 4365 -1.282397660730e1 nan 8.533724212612e-6 1.927055564011e-6 1.293812226504e-2
180 180 5684 -1.282879489376e1 nan 7.883548960308e-7 2.596500507934e-7 1.300272066146e-2
220 220 6950 -1.283532070308e1 nan 1.191161800418e-6 5.709432215895e-8 1.300347968936e-2
260 260 8186 -1.283750165312e1 nan 8.851980624058e-7 6.920626560714e-8 1.300129387528e-2
340 340 10852 -1.284017049901e1 nan 2.025804860750e-6 6.993000323252e-8 1.300127524883e-2
380 380 12116 -1.284284361516e1 nan 1.380433900411e-6 3.786704638742e-8 1.300069037825e-2
420 420 13333 -1.284406027617e1 nan 6.005599856307e-7 1.642669644752e-8 1.300074812025e-2
460 460 14574 -1.284454697122e1 nan 1.600285486347e-6 4.752821081144e-8 1.300051994622e-2
500 500 15887 -1.284479056620e1 nan 4.395802477575e-7 2.056241044102e-8 1.300019491464e-2
540 540 17130 -1.284649554376e1 nan 6.937995068457e-7 1.678992600507e-8 1.300041005015e-2
580 580 18432 -1.284673927548e1 nan 5.527743951461e-7 1.730459864291e-8 1.300036069006e-2
620 620 19683 -1.285480138003e1 nan 3.835759344040e-6 9.868432243820e-6 1.255680993199e-2
660 660 21021 -1.289393056340e1 nan 1.799072833819e-6 2.374949872430e-6 1.230661384761e-2
700 700 22271 -1.291814312310e1 nan 1.831850386225e-5 3.660197762656e-5 1.166645437479e-2
740 740 23538 -1.294734097582e1 nan 1.092010279535e-5 3.687678690756e-5 1.163736637682e-2
780 780 24827 -1.296473302629e1 nan 1.142256951436e-5 3.707430732902e-5 1.160364877433e-2
860 860 27340 -1.296525484976e1 nan 1.101618545363e-5 3.718892548921e-5 1.160323712975e-2
1060 1060 33842 -1.296525484976e1 nan 1.101618545363e-5 3.718892548921e-5 1.160323712975e-2
1260 1260 40313 -1.296525484976e1 nan 1.101618545363e-5 3.718892548921e-5 1.160323712975e-2
1460 1460 46722 -1.296891165088e1 nan 1.146878730640e-5 3.636271503638e-5 1.160123292357e-2
1540 1540 49296 -1.297021999811e1 nan 1.041017549142e-5 3.572991772682e-5 1.160298381001e-2
1620 1620 51941 -1.297336351766e1 nan 9.811300515250e-6 3.400383138796e-5 1.160313002765e-2
1820 1820 58404 -1.297362552937e1 nan 9.931418390008e-6 3.441491935519e-5 1.160300802439e-2
1860 1860 59687 -1.297467469524e1 nan 9.827613211999e-6 3.521651888161e-5 1.160256285220e-2
2060 2060 66304 -1.297546200809e1 nan 9.800768566381e-6 3.521782855398e-5 1.160255540162e-2
2100 2100 67588 -1.297756361153e1 nan 9.631673492438e-6 3.416625258978e-5 1.160293817520e-2
2300 2300 74065 -1.297756361153e1 nan 9.631673492438e-6 3.416625258978e-5 1.160293817520e-2
