x generation elapsed_ms log10_p sat one_minus_r2_train one_minus_r2_val one_minus_r2_third
500 500 18025 -1.269601146250e1 nan 2.441292417643e-5 1.708941272238e-5 1.303475722671e-2
1000 1000 37078 -1.272872282653e1 nan 2.667298031156e-5 1.183100175695e-5 1.303377933800e-2
1500 1500 58312 -1.276764339532e1 nan 1.806702493923e-5 1.176288333238e-5 1.299870666116e-2
2000 2000 82764 -1.276857504169e1 nan 1.723910099838e-5 1.250661171082e-5 1.299607846886e-2
2500 2500 107697 -1.278073494839e1 nan 1.213930409005e-5 8.289420293184e-6 1.300721708685e-2
3000 3000 132723 -1.278073494839e1 nan 1.213930409005e-5 8.289420293184e-6 1.300721708685e-2
3500 3500 156544 -1.280984044607e1 nan 8.499322575628e-6 1.866500497161e-6 1.295431610197e-2
4000 4000 177993 -1.314722043970e1 nan 2.862548171834e-7 1.035513079728e-7 1.013559382409e-2
4500 4500 198325 -1.314808975110e1 nan 3.115979440027e-7 8.100325743499e-8 1.013758964837e-2
5000 5000 218321 -1.314808975110e1 nan 3.115979440027e-7 8.100325743499e-8 1.013758964837e-2
5500 5500 237992 -1.314808975110e1 nan 3.115979440027e-7 8.100325743499e-8 1.013758964837e-2
6000 6000 257958 -1.322303700921e1 nan 1.085299572767e-6 2.150423370040e-6 9.557218290865e-3
6500 6500 280605 -1.325820374978e1 nan 1.470087681810e-6 2.175352847189e-6 9.500522166491e-3
7000 7000 303604 -1.328184086460e1 nan 5.440328095574e-6 3.019449195563e-6 9.311069734395e-3
7500 7500 325890 -1.328184086460e1 nan 5.440328095574e-6 3.019449195563e-6 9.311069734395e-3
8000 8000 348140 -1.328184086460e1 nan 5.440328095574e-6 3.019449195563e-6 9.311069734395e-3
8500 8500 370634 -1.328184086460e1 nan 5.440328095574e-6 3.019449195563e-6 9.311069734395e-3
9000 9000 392869 -1.328184086460e1 nan 5.440328095574e-6 3.019449195563e-6 9.311069734395e-3
9500 9500 414979 -1.328184086460e1 nan 5.440328095574e-6 3.019449195563e-6 9.311069734395e-3
10000 10000 437070 -1.328184086460e1 nan 5.440328095574e-6 3.019449195563e-6 9.311069734395e-3
10500 10500 459223 -1.328184086460e1 nan 5.440328095574e-6 3.019449195563e-6 9.311069734395e-3
11000 11000 480988 -1.328184086460e1 nan 5.440328095574e-6 3.019449195563e-6 9.311069734395e-3
11500 11500 503537 -1.330866372561e1 nan 5.737907031178e-6 5.652827894775e-6 8.549391292036e-3
12000 12000 526269 -1.330866372561e1 nan 5.737907031178e-6 5.652827894775e-6 8.549391292036e-3
12500 12500 548545 -1.331599350558e1 nan 1.078933837562e-5 9.685447366792e-6 8.817347697914e-3
13000 13000 568785 -1.339071208533e1 nan 1.054136100720e-5 9.639047675591e-6 8.426778018475e-3
13500 13500 588616 -1.339071208533e1 nan 1.054136100720e-5 9.639047675591e-6 8.426778018475e-3
14000 14000 608339 -1.339071208533e1 nan 1.054136100720e-5 9.639047675591e-6 8.426778018475e-3
14500 14500 628115 -1.339071208533e1 nan 1.054136100720e-5 9.639047675591e-6 8.426778018475e-3
15000 15000 647750 -1.339071208533e1 nan 1.054136100720e-5 9.639047675591e-6 8.426778018475e-3
15500 15500 668073 -1.339137888133e1 nan 1.054155745805e-5 9.639054042054e-6 8.428211323917e-3
16000 16000 687511 -1.340342790926e1 nan 1.054155745805e-5 9.639054042054e-6 8.410133421421e-3
16500 16500 708200 -1.346809215571e1 nan 3.503736024757e-6 8.504538527632e-6 7.406988181174e-3
17000 17000 730429 -1.347018530498e1 nan 3.742657099792e-6 7.982685019559e-6 7.410631515086e-3
17500 17500 752077 -1.347018530498e1 nan 3.742657099792e-6 7.982685019559e-6 7.410631515086e-3
18000 18000 773615 -1.347018530498e1 nan 3.742657099792e-6 7.982685019559e-6 7.410631515086e-3
18500 18500 795798 -1.347263005992e1 nan 3.742657099792e-6 7.982685019559e-6 7.411214057356e-3
19000 19000 817679 -1.347263005992e1 nan 3.742657099792e-6 7.982685019559e-6 7.411214057356e-3
19500 19500 839495 -1.347263005992e1 nan 3.742657099792e-6 7.982685019559e-6 7.411214057356e-3
